1,1,2025-01-01,Party,500.0,New Years
2,1,2025-01-02,Travel,120,Bus ticket to college
3,1,2025-01-03,Shopping,1599,Shoes from Amazon
4,1,2025-01-03,Food,90,Tea and samosa
5,1,2025-01-04,Bills,799,Mobile recharge
6,1,2025-01-04,Food,400,Lunch at food court
7,1,2025-01-05,Entertainment,350,Movie ticket
8,1,2025-01-05,Travel,300,Auto fare
9,1,2025-01-06,Other,150,Stationery items
10,1,2025-01-06,Food,220,Evening snacks
11,1,2025-01-07,Shopping,2499,Winter jacket
12,1,2025-01-07,Bills,1200,Electricity bill
13,1,2025-01-08,Food,500,Birthday treat
14,1,2025-01-09,Travel,180,Metro card recharge
15,1,2025-01-09,Other,350,Gift item
16,1,2025-01-10,Food,300,Dominos Pizza
17,1,2025-01-11,Entertainment,450,Amusement park ticket
18,1,2025-01-12,Travel,100,Rickshaw
19,1,2025-01-12,Food,90,Coffee
20,1,2025-01-13,Bills,999,Internet bill
21,1,2025-01-13,Other,200,Notebook and pens
22,1,2025-01-14,Food,180,Paani puri with friends
23,1,2025-01-14,Shopping,899,New headphones
24,1,2025-01-15,Travel,160,Cab share
25,1,2025-01-15,Entertainment,299,Mobile game subscription
26,1,2025-01-16,Food,350,Burger King meal
27,1,2025-01-17,Other,75,Photocopy notes
28,1,2025-01-17,Bills,450,Gas cylinder service
29,1,2025-01-18,Travel,200,Train ticket
30,1,2025-01-18,Food,500,Family dinner outside
31,1,2025-01-19,Shopping,1299,College bag
32,1,2025-01-19,Food,120,Ice cream
33,1,2025-01-20,Bills,650,Water bill
34,1,2025-01-20,Entertainment,120,YouTube Premium
35,1,2025-01-21,Other,300,Gift wrapping items
36,1,2025-01-21,Food,250,Momos and cold drink
37,1,2025-01-22,Travel,90,Metro ride
38,1,2025-01-22,Food,280,Paneer roll and coke
39,1,2025-01-23,Shopping,350,T-shirt
40,1,2025-01-23,Food,150,Vada pav and tea
41,1,2025-01-24,Bills,399,Cloud storage subscription
42,1,2025-01-24,Travel,210,Petrol for bike share
43,1,2025-01-25,Food,330,Chicken biryani
44,1,2025-01-25,Other,270,Room cleaning supplies
45,1,2025-01-26,Entertainment,600,Theme park games
46,1,2025-01-26,Food,160,Chole bhature
47,1,2025-01-27,Shopping,649,Sunglasses
48,1,2025-01-27,Food,200,Chinese noodles
49,1,2025-01-28,Travel,140,E-bike rental
50,1,2025-01-28,Other,500,Donation at temple
51,1,2025-01-29,Bills,1400,Phone installment
52,1,2025-01-29,Food,260,Masala dosa
53,1,2025-01-30,Entertainment,800,Concert entry ticket
54,1,2025-01-30,Food,200,Fruits and juice
55,1,2025-01-31,Shopping,499,Mobile cover and charger
56,1,2025-01-31,Food,350,Pasta and brownie
57,1,2025-02-01,Travel,150,Auto to market
58,1,2025-02-01,Food,220,Masala chai and pakoda
59,1,2025-02-02,Bills,999,OTT subscription
60,1,2025-02-02,Food,500,Dinner with cousins
61,1,2025-02-03,Shopping,799,Wallet purchase
62,1,2025-02-03,Food,160,Idli and filter coffee
63,1,2025-02-04,Travel,120,College bus fee
64,1,2025-02-04,Food,300,Subway sandwich
65,1,2025-02-05,Other,250,Laundry expenses
66,1,2025-02-05,Food,170,Milkshake
67,1,2025-02-06,Entertainment,990,Cinema with popcorn
68,1,2025-02-06,Food,140,Pav bhaji
69,1,2025-02-07,Travel,100,Local bus ticket
70,1,2025-02-07,Bills,2100,Hostel rent contribution
71,1,2025-02-08,Shopping,1299,Sports shoes
72,1,2025-02-08,Food,250,Rolls and soft drink
73,1,2025-02-09,Other,300,Exam forms photocopy
74,1,2025-02-09,Food,200,Chocolate pastry
75,1,2025-02-10,Entertainment,400,Arcade games
